article,celeb,x,y
"The man who kept O.J. Simpson's getaway Bronco hidden for roughly 22 years wants more than $500,000 for the infamous ride ... and he's hoping to get it from the guys on ""Pawn Stars.""Simpson's former agent, Mike Gilbert, got in touch with Rick Harrison in the hopes of unloading the car he got from Al Cowlings following the 1994 slow speed chase on the 405 freeway.During the episode, which airs Monday on History, Gilbert told the guys he's had very serious offers in the past -- but wants more than half a mil or no deal.The challenge for Rick -- we've never seen him spend that kind of money on the show before. The most expensive items ever sold at the Pawn Shop were gold bars valued at $128,000.",o.j. simpson,11.798805555220593,11.69412345172743
"Usher isn't letting his herpes scandal get in the way of his music career ... because we've learned he's in the studio right now with Jermaine Dupri.Usher is in an L.A. studio recording for a new album, produced by Jermaine. We're told Usher literally hasn't missed a beat in the wake of multiple lawsuits alleging he exposed sexual partners to herpes.It's interesting ... Usher headlined at the Cincinnati Music Festival alongside Mary J. Blige last month, 5 days after a woman filed a $20 million lawsuit against him, claiming her exposed her to the STD.",usher herpes scandal,16.638144005435333,-8.499021228083091
"Gov. Terry McAuliffe has a clear message for Donald Trump for the sake of world salvation -- ""Knock it off.""We got the Virginia democrat at an event Wednesday in Pentagon City, and he's alarmed to say the least at the President's ""fire and fury"" rhetoric directed at North Korea.It's interesting ... check out this video of President Harry Truman back in August 1945 -- the day we dropped an atomic bomb on Hiroshima -- when he used language almost identical in tone to Trump's.",trump,-9.179421283531266,15.342144860598763
"President Donald Trump's ex-campaign manager had a rude awakening after FBI agents conducted a predawn raid at his home.The raid happened back on July 26 but news just surfaced. FBI agents stormed Paul Manafort's Alexandria, Virginia crib to seize docs related to Robert Mueller's investigation into Russia interference of the 2016 U.S. presidential election.The raid reportedly went down the day after Manafort met with the Senate Intelligence Committee, which is also investigating Russia. Manafort, of course, was one of a handful of people -- including Donald Trump Jr. and son-in-law/adviser Jared Kushner -- who took part in a 2016 meeting with a Russian lawyer offering dirt on Hillary Clinton.",trump,-9.201168302393675,14.958586854307468
"The Koch Brothers reportedly helped finance ""Wonder Woman"" and other films with Bill Gates ... and Donald Trump's Treasury Secretary.The way the story goes ... Steven Mnuchin roped Charles Koch, David Koch and Gates into a production company he helped start to finance movies like 'WW,' ""Dunkirk,"" and Spielberg's upcoming ""Ready Player One.""The Koch Brothers struck a $450 million deal in 2013 to become stakeholders in Mnuchin's company RatPac-Dune Entertainment ... and Gates was brought in as an investor for a similar amount, according to The Hollywood Reporter.Although Mnuchin has divested from the company because of his gig in Trump's administration ... the Koch Brothers are reportedly still very much involved.Also worth noting ... reps for the Kochs denied investing in RatPac.Still, it's interesting. The Koch Brothers -- worth more than $96 billion -- are known as backers of conservative efforts.Wonder how Diana Prince would feel about this.",trump,-10.982949843588003,15.730076402875131
"Donald Trump just warned North Korea ... he's not only renovating the White House air-conditioning system, he's doing the same to our nuclear arsenal.Trump's latest tweet -- ""My first order as President was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before"" -- is the latest act of brinkmanship between the U.S. and North Korea.Trump doesn't say he's completed the act of renovating our arsenal -- that takes way longer than 7 months -- but he claims he began the process back in January. It's hard to know how long anything takes to develop or renovate in the nuclear world ... no one thought North Korea could do what it's now doing.Trump went on to say, ""Hopefully we will never have to use this power, but there will never be a time that we are not the most powerful nation in the world.""",trump,-9.325658760583543,15.361642618884243
"Karrueche Tran isn't hating on ex Chris Brown for sending googly eyes to his other ex, Rihanna ... she actually says she can't blame him 'cause she'd do the same thing.We got Karrueche leaving Catch in WeHo -- perhaps a little drunk -- and asked what she made of Rihanna's sexy Crop Over outfit and Chris' comment that got fans all riled up.She's joyfully honest -- telling us she'd love to learn RiRi's secret to getting that type of a bod ... but then admitting it probably ain't gonna happen for her.Never say never, though, KT ... Kim K's only a couple inches taller and the reigning queen of thick.As for Chris' googly eyed comment for Rihanna, Karrueche sees the rationale ... even if he probably ain't the best one to express it.",kim & kanye,-1.0834534375132892,-17.151773383554918
"Justin Theroux's war with his NYC neighbor is actually pretty one-sided -- Justin does all the damage and the downstairs neighbor's left to deal with it ... according to new legal docs filed by the guy.Norman Resnicow responded to Theroux's recent harassment lawsuit against him, claiming he and his wife have been terrorized by the actor's rude behavior at their Greenwich Village co-op for years ... including endless barking from his rescue dogs left isolated for long periods, dropping heavy weights on the floor at 3 AM and angry outbursts.Despite all this, according to the docs, Resnicow has actually had Theroux's back in the past -- including when he was the co-op president -- and the 2 have a history of ""friendly relations and cooperation."" That's why he calls Justin's allegations against him ... ""as fictional as the television series in which he recently starred.""For example, Norman claims Jennifer Aniston's hubby asked him to help quietly kick Justin's ex-gf out of his apartment.Resnicow says he's been nothing but helpful to Justin, yet J.T. won't return the favor by soundproofing his unit, and that's why Resnicow has pitched a fit from time to time.",trump,-16.819062646377965,-12.78540297894387
"Blac Chyna had the cops called on her after Rob's baby mama went ham over a roofer.It happened Tuesday morning at Chyna's L.A. home. She pitched a fit when a guy next door started pitching a roof at 9 AM. We're told Chyna confronted the homeowner, saying it was too damn early to start construction. She said the noise woke up little Dream, and that pissed her off.The neighbor claims Chyna went so ballistic she got scared and called the cops.We're told cops showed up and gave Chyna a free lesson about the law. In L.A., construction can fire up at 7 AM, so the roofer was well within his rights.Chyna calmed down, and cops beat it.",rob & chyna,15.785524790704207,14.36116004466464
"Usher in no way, shape or form had sex with the woman who came forward and claimed he exposed her to the herpes virus, because he's just not into her type ... so he's telling his close circle.Quantasia Sharpton claims Usher picked her out of the audience at a concert, got her number, and went over to her hotel room where they had sex. She claims he didn't tell her he allegedly had genital herpes.Our sources say Usher told them he may have pulled her up onstage ... he doesn't remember, but he absolutely didn't hook up with her.As for why he may have picked Sharpton out of the crowd and brought her onstage, the sources say Usher ""looks to bring a diverse group of people up onstage, not just supermodels.""One source says he believes it's ""an esteem booster"" to choose various people Usher sees in the audience and single them out.",usher herpes scandal,16.61049039173873,-8.79025432894154
"Journey fans can relax, keyboardist Jonathan Cain insists the band isn't calling it quits over their White House visit without founding member Neal Schon -- although Neal doesn't seem nearly as sure.We got Cain and his wife, Paula, at LAX Tuesday and asked about Neal going off on Twitter about the visit. Everyone attended but drummer Steve Smith and Neal, who thinks the band shouldn't be exploited by anyone especially for politics or religion.Cain, whose wife is a televangelist with strong ties to President Trump, says he hasn't talked to Neal since the rant, and the guitarist is still steaming almost a week later. He has made it clear the tension isn't about Trump, but certainly made it seem like it's about Jonathan mixing his wife's agenda with the band's.We've talked about this long ago with JC RV myself and Managment we left the meeting & all understood that it must be separate. https://t.co/WcMfcoEuYOSo, fresh off their Hall of Fame induction ... is Journey rock solid?Depends on who you choose to keep believin'.",trump,-9.281472778698845,12.707380718178014
"Quantasia Sharpton declaring ""I need money"" has nothing to do with her lawsuit against Usher -- she's just struggling financially like millions of Americans ... according to her lawyer.Celebrity attorney Lisa Bloom tells TMZ her client has been raked over the coals since her Monday morning news conference. In particular, Bloom defended Quantasia's social media post saying she's hard up for cash ... which came one week prior to the suit.Bloom says it's unfair to connect the two things -- ""It's not a crime to be poor in America. It's not a crime to be honest about the fact you need money. Most people need money."" She points out Quantasia didn't put a dollar amount on the lawsuit, and only wants what a jury deems fair.In addition, Bloom says Quantasia's been repeatedly fat shamed online since the news conference.",usher herpes scandal,16.566468713509334,-8.351607193489826
"Glen Campbell -- legendary country music singer best known for his 1975 hit, ""Rhinestone Cowboy"" -- has died after a long battle with Alzheimer's ... TMZ has learned.Campbell died Tuesday around 10 AM in a Nashville facility for Alzheimer's patients ... according to a source close to his family.The musician released more than 70 albums over a 50-year career, and had a series of hits in the '60s and '70s including ""Gentle on My Mind,"" ""Wichita Lineman,"" ""Galveston,"" ""Country Boy"" and his best-selling single, ""Rhinestone Cowboy.""Glen made history in 1967 by winning 4 Grammys in the country and pop categories, and took home CMA's Entertainer of the Year award in 1968.Campbell was also an actor and TV host who starred in the variety show, ""The Glen Campbell Goodtime Hour"" on CBS from 1969-1972. The 2014 documentary ""I'll Be Me"" documented Glen's farewell tour and struggle with his Alzheimer's diagnosis.He's survived by his wife, Kim Campbell, and 8 children. Kim's scheduled to speak at The Alzheimer's Alliance of Smith County luncheon in Tyler, Texas in November about the challenges faced by people living with the disease and their families.Glen was 81.RIP",kim & kanye,3.346430743766896,-14.018572679032362
"Usher's insurance company put him on notice, with legal papers -- it will NOT pay for the $20 million herpes lawsuit against him if he loses because his policy doesn't cover STDs.New York Marine and General Insurance Company filed docs referencing the $20 mil case filed in Georgia by a Jane Doe ... who claims she contracted herpes from Usher after having sex with him at least twice this year. The insurer points out a clause in the singer's policy that excludes coverage for ""bodily injury ... arising out of the transmission of any communicable diseases by [Usher].""In the docs, the company also references the lawsuit filed by celebrity attorney Lisa Bloom on behalf of a John Doe, another Jane Doe and Quantasia Sharpton ... saying it also doesn't want to pay in that case.The company's also got beef with Usher over the reported settlement he paid to a woman in 2012 for allegedly infecting her. NYM&G says he never disclosed that matter when he signed its policy in 2016, so that's another reason it won't cover him in the Herpes suits.",usher herpes scandal,16.632931945415145,-8.866792534409656
"Corinne Olympios looked more than willing and fully conscious when she led DeMario Jackson into a pool as they started to hookup while shooting ""Bachelor in Paradise.""A scene that appears to be part of the controversial incident -- where Corinne essentially claimed sexual assault because she says she was not conscious -- was teased Monday night during the 'Bachelorette' finale. It shows Corinne leading DeMario into the pool in the daylight, with some of her fellow cast members close by ... and cameras rolling.It seems Corinne's speaking coherently and looks very with it ... much like we reported. It's unclear, though, how much time passed between this pool scene and the alleged sexual misconduct. Her legal team says the footage that alarmed a 'BiP' producer -- which eventually shut down production -- took place in a hot tub, not the pool.We've confirmed that's accurate, and Warner Bros. says that hot tub footage will not be aired.",bachelor pool scandal,20.242864164545967,-2.6596048203573273
"Corinne Olympios was popping pills and mixing booze during ""Bachelor in Paradise"" filming before the infamous swimming pool hookup with DeMario Jackson ... TMZ has learned.Sources close to production tell TMZ ... Corinne made the admission during Saturday's taping of the 'BiP' reunion. We're told she didn't elaborate on what kind of Rx, but she's adamant -- ingesting the pills that day and mixing it with booze intensified her drunkenness, which she says led to her blacking out.TMZ broke the story ... production shut down following allegations of sexual misconduct in a pool. A producer felt Corinne was incapable of giving consent, but the video and interviews with various members of cast and crew led Warner Bros. honchos to conclude ... she knew what she was doing.It's interesting ... when 'BiP' filming resumed, new policies were implemented, such as checking bags for prescription drugs, legal or otherwise. Now it makes sense.",bachelor pool scandal,19.612450373564105,-3.1464731279291165
"One of Usher's accusers, Quantasia Sharpton, proclaimed exactly one week before filing her STD lawsuit against the singer, she was hard up for cash.Quantasia, who also goes by Angel Valentino on social media, said last week, ""I need some money."" The Facebook post came exactly one week before her news conference with celebrity attorney Lisa Bloom, announcing the lawsuit against Usher.Also, early Monday morning ... she wrote, ""Enjoying my last couple of hours as a regular girl."" Seems Quantasia was well aware coming forward to make the herpes allegation against Usher would put her squarely in the spotlight.It's interesting since the other 2 people on the lawsuit filed anonymously, as Jane and John Doe.",usher herpes scandal,16.62838458139443,-8.489203514800739
"Usher allegedly had vaginal sex with at least one of the 2 women who are suing him for failing to disclose he has genital herpes, and he had oral sex with a male who is also suing him ... this according to a new lawsuit.According to the suit, obtained by TMZ, all 3 plaintiffs allegedly had sex with Usher, ""because Raymond [Usher] was a revered celebrity in their eyes who they believed could be loved and trusted.""The lawsuit claims Usher never told them about a herpes diagnosis. It's important to note, the lawsuit is based on news reports that Usher is carrying the STD and that he settled a herpes lawsuit for $1.1 million a few years back.The suit claims the 2 women and the man have all suffered severe emotional distress, depression and anxiety. It also says they have experienced embarrassment, shame, anxiety and revulsion.The suit does not give specifics on where the 3 people had sex with Usher nor does it say when. One of the plaintiffs, Quantasia Sharpton, held a news conference with her celeb lawyer, Lisa Bloom, saying Usher picked her out of a crowd during a concert and later had sex with her.Bloom says one of the plaintiffs -- not Sharpton -- has tested positive for herpes.The lawsuit doesn't specify the amount of damages, but asks for punitives as well as a judge's order requiring Usher to fully disclose his alleged herpes diagnosis.",usher herpes scandal,16.633740364980593,-8.300912752579883
